# Doubly Lensed Quasar Time Series dataset for Example Sheet 3
# t = observation time (days)
# y1 = magnitude brightness of quasar image 1
# err1 =  1-sigma std dev of measurement error of y1 (mag)
# y2 = magnitude brightness of quasar image 2
# err2 =  1-sigma std dev of measurement error of y2 (mag)
#
#t 	 y1 	 err1 	 y2 	 err2 
#--------------------------------------------
203.0 	 -0.009 	 0.010 	 0.182 	 0.010 
209.0 	 0.016 	 0.010 	 0.271 	 0.010 
215.0 	 -0.008 	 0.010 	 0.222 	 0.010 
221.0 	 0.053 	 0.010 	 0.217 	 0.010 
227.0 	 0.068 	 0.010 	 0.242 	 0.010 
233.0 	 0.119 	 0.010 	 0.262 	 0.010 
239.0 	 0.128 	 0.010 	 0.279 	 0.010 
245.0 	 0.105 	 0.010 	 0.224 	 0.010 
251.0 	 0.093 	 0.010 	 0.140 	 0.010 
257.0 	 0.013 	 0.010 	 0.128 	 0.010 
263.0 	 -0.021 	 0.010 	 0.171 	 0.010 
269.0 	 -0.068 	 0.010 	 0.137 	 0.010 
275.0 	 -0.106 	 0.010 	 0.125 	 0.010 
281.0 	 -0.093 	 0.010 	 0.093 	 0.010 
287.0 	 -0.039 	 0.010 	 0.113 	 0.010 
293.0 	 -0.090 	 0.010 	 0.128 	 0.010 
299.0 	 -0.131 	 0.010 	 0.213 	 0.010 
305.0 	 -0.105 	 0.010 	 0.147 	 0.010 
311.0 	 -0.062 	 0.010 	 0.232 	 0.010 
317.0 	 -0.052 	 0.010 	 0.245 	 0.010 
323.0 	 -0.044 	 0.010 	 0.202 	 0.010 
329.0 	 -0.090 	 0.010 	 0.108 	 0.010 
335.0 	 -0.151 	 0.010 	 0.054 	 0.010 
341.0 	 -0.190 	 0.010 	 0.016 	 0.010 
347.0 	 -0.164 	 0.010 	 0.020 	 0.010 
353.0 	 -0.123 	 0.010 	 0.000 	 0.010 
359.0 	 -0.133 	 0.010 	 -0.014 	 0.010 
365.0 	 -0.135 	 0.010 	 0.026 	 0.010 
371.0 	 -0.096 	 0.010 	 -0.032 	 0.010 
377.0 	 -0.107 	 0.010 	 -0.035 	 0.010 
383.0 	 -0.076 	 0.010 	 -0.013 	 0.010 
389.0 	 -0.034 	 0.010 	 0.034 	 0.010 
395.0 	 -0.006 	 0.010 	 0.070 	 0.010 
401.0 	 -0.021 	 0.010 	 0.095 	 0.010 
407.0 	 -0.063 	 0.010 	 -0.018 	 0.010 
413.0 	 0.010 	 0.010 	 -0.108 	 0.010 
419.0 	 -0.020 	 0.010 	 -0.114 	 0.010 
425.0 	 0.082 	 0.010 	 -0.052 	 0.010 
431.0 	 0.104 	 0.010 	 0.018 	 0.010 
437.0 	 0.111 	 0.010 	 -0.110 	 0.010 
443.0 	 0.062 	 0.010 	 -0.022 	 0.010 
449.0 	 0.041 	 0.010 	 -0.026 	 0.010 
455.0 	 0.025 	 0.010 	 0.012 	 0.010 
461.0 	 0.047 	 0.010 	 0.061 	 0.010 
467.0 	 -0.040 	 0.010 	 0.105 	 0.010 
473.0 	 -0.052 	 0.010 	 0.118 	 0.010 
479.0 	 -0.124 	 0.010 	 0.079 	 0.010 
485.0 	 -0.091 	 0.010 	 0.069 	 0.010 
491.0 	 -0.055 	 0.010 	 0.060 	 0.010 
497.0 	 -0.030 	 0.010 	 0.142 	 0.010 
503.0 	 -0.002 	 0.010 	 0.202 	 0.010 
509.0 	 -0.111 	 0.010 	 0.213 	 0.010 
515.0 	 -0.141 	 0.010 	 0.158 	 0.010 
521.0 	 -0.156 	 0.010 	 0.133 	 0.010 
527.0 	 -0.112 	 0.010 	 0.115 	 0.010 
533.0 	 -0.115 	 0.010 	 0.054 	 0.010 
539.0 	 -0.140 	 0.010 	 0.094 	 0.010 
545.0 	 -0.110 	 0.010 	 0.072 	 0.010 
551.0 	 -0.146 	 0.010 	 0.010 	 0.010 
557.0 	 -0.085 	 0.010 	 -0.049 	 0.010 
563.0 	 -0.121 	 0.010 	 -0.016 	 0.010 
568.0 	 -0.157 	 0.010 	 0.021 	 0.010 
574.0 	 -0.191 	 0.010 	 0.110 	 0.010 
580.0 	 -0.115 	 0.010 	 0.073 	 0.010 
586.0 	 -0.050 	 0.010 	 -0.031 	 0.010 
592.0 	 0.025 	 0.010 	 -0.038 	 0.010 
598.0 	 0.048 	 0.010 	 -0.093 	 0.010 
604.0 	 0.164 	 0.010 	 0.005 	 0.010 
610.0 	 0.134 	 0.010 	 -0.020 	 0.010 
616.0 	 0.154 	 0.010 	 -0.027 	 0.010 
622.0 	 0.114 	 0.010 	 -0.061 	 0.010 
628.0 	 0.144 	 0.010 	 -0.049 	 0.010 
634.0 	 0.217 	 0.010 	 0.030 	 0.010 
640.0 	 0.127 	 0.010 	 -0.023 	 0.010 
646.0 	 0.079 	 0.010 	 -0.082 	 0.010 
652.0 	 0.055 	 0.010 	 -0.046 	 0.010 
658.0 	 -0.072 	 0.010 	 0.052 	 0.010 
664.0 	 -0.045 	 0.010 	 0.139 	 0.010 
670.0 	 0.012 	 0.010 	 0.120 	 0.010 
676.0 	 0.128 	 0.010 	 0.223 	 0.010 
682.0 	 0.177 	 0.010 	 0.211 	 0.010 
688.0 	 0.196 	 0.010 	 0.280 	 0.010 
694.0 	 0.156 	 0.010 	 0.233 	 0.010 
700.0 	 0.157 	 0.010 	 0.275 	 0.010 
706.0 	 -0.002 	 0.010 	 0.295 	 0.010 
712.0 	 0.066 	 0.010 	 0.275 	 0.010 
718.0 	 0.088 	 0.010 	 0.211 	 0.010 
724.0 	 0.084 	 0.010 	 0.216 	 0.010 
730.0 	 0.151 	 0.010 	 0.066 	 0.010 
736.0 	 0.103 	 0.010 	 0.078 	 0.010 
742.0 	 0.079 	 0.010 	 0.084 	 0.010 
748.0 	 0.059 	 0.010 	 0.145 	 0.010 
754.0 	 0.091 	 0.010 	 0.225 	 0.010 
760.0 	 0.066 	 0.010 	 0.271 	 0.010 
766.0 	 -0.006 	 0.010 	 0.285 	 0.010 
772.0 	 -0.030 	 0.010 	 0.296 	 0.010 
778.0 	 -0.044 	 0.010 	 0.198 	 0.010 
784.0 	 0.008 	 0.010 	 0.116 	 0.010 
790.0 	 0.052 	 0.010 	 0.166 	 0.010 
796.0 	 0.069 	 0.010 	 0.176 	 0.010 
802.0 	 0.081 	 0.010 	 0.234 	 0.010 
808.0 	 0.043 	 0.010 	 0.250 	 0.010 
814.0 	 0.005 	 0.010 	 0.170 	 0.010 
820.0 	 -0.074 	 0.010 	 0.166 	 0.010 
826.0 	 -0.066 	 0.010 	 0.197 	 0.010 
832.0 	 -0.088 	 0.010 	 0.217 	 0.010 
838.0 	 0.008 	 0.010 	 0.133 	 0.010 
844.0 	 -0.044 	 0.010 	 0.023 	 0.010 
850.0 	 -0.039 	 0.010 	 0.054 	 0.010 
856.0 	 0.005 	 0.010 	 0.052 	 0.010 
862.0 	 -0.008 	 0.010 	 0.156 	 0.010 
868.0 	 -0.050 	 0.010 	 0.183 	 0.010 
874.0 	 -0.070 	 0.010 	 0.148 	 0.010 
880.0 	 -0.074 	 0.010 	 0.168 	 0.010 
886.0 	 -0.075 	 0.010 	 0.096 	 0.010 
