# z = redshift
# mhat = apparent magnitude
#
# z    mhat
#-----------
0.011 14.059
0.012 14.453
0.019 15.346
0.021 15.452
0.029 16.048
0.033 16.569
0.048 16.880
0.049 17.122
0.051 17.484
0.052 17.277
0.059 17.626
0.060 17.773
0.060 17.988
0.062 17.957
0.067 17.918
0.069 18.242
0.073 18.209
0.076 18.116
0.087 18.688
0.092 18.678
0.098 18.731
0.101 18.616
0.103 19.050
0.108 19.036
0.113 19.120
0.114 19.159
0.120 19.484
0.123 19.649
0.137 19.419
0.139 19.870
0.146 19.692
0.147 19.589
0.147 19.928
0.153 20.120
0.154 20.157
0.155 19.823
0.156 19.710
0.157 19.884
0.158 20.141
0.166 20.063
0.170 20.268
0.180 20.280
0.180 20.291
0.185 20.343
0.186 20.410
0.190 20.486
0.192 20.228
0.195 20.359
0.196 20.359
0.198 20.266
0.200 20.558
0.204 20.506
0.204 20.695
0.205 20.713
0.206 20.663
0.215 20.465
0.216 20.689
0.219 20.516
0.219 20.554
0.221 20.726
0.222 20.706
0.226 20.650
0.227 20.994
0.236 21.061
0.239 20.636
0.243 20.762
0.243 20.687
0.251 20.991
0.257 21.057
0.271 21.377
0.275 21.307
0.283 21.360
0.284 21.303
0.285 21.396
0.292 21.572
0.299 21.550
0.300 21.773
0.302 21.575
0.308 21.501
0.310 21.704
0.316 21.573
0.317 21.710
0.325 21.475
0.325 22.092
0.326 21.762
0.339 21.669
0.341 21.932
0.343 21.710
0.344 21.748
0.350 21.923
0.351 21.911
0.353 21.983
0.354 22.048
0.357 22.094
0.358 22.033
0.367 22.066
0.367 21.988
0.369 21.950
0.371 22.372
0.372 22.155
0.378 21.894
0.379 21.758
0.382 22.079
0.386 22.306
0.391 22.229
0.391 22.245
0.394 21.999
0.396 22.171
0.401 22.337
0.404 22.196
0.405 22.457
0.408 22.396
0.409 22.185
0.412 22.291
0.413 22.380
0.435 22.524
0.442 22.446
0.449 22.743
0.452 22.517
0.454 22.292
0.456 22.718
0.460 22.860
0.461 22.560
0.462 22.665
0.464 22.680
0.464 22.861
0.467 22.674
0.470 22.503
0.471 22.494
0.474 22.777
0.475 22.798
0.479 22.752
0.487 22.881
0.493 22.695
0.495 22.807
0.501 22.897
0.506 22.783
0.507 22.754
0.511 22.854
0.514 22.801
0.516 22.964
0.516 23.079
0.518 22.910
0.525 23.127
0.526 22.947
0.531 23.168
0.536 22.838
0.545 22.860
0.549 23.085
0.555 23.086
0.555 23.026
0.557 23.177
0.560 23.027
0.567 23.167
0.569 23.201
0.571 23.046
0.575 23.392
0.577 23.102
0.582 23.273
0.586 23.155
0.588 23.063
0.591 23.096
0.592 22.983
0.598 23.412
0.599 23.187
0.602 23.479
0.604 23.171
0.610 23.178
0.612 23.693
0.616 23.477
0.617 23.287
0.618 23.619
0.619 23.217
0.620 23.283
0.621 23.516
0.623 23.467
0.632 23.248
0.636 23.277
0.638 23.310
0.640 23.489
0.643 23.413
0.643 23.755
0.647 23.378
0.649 23.315
0.654 23.536
0.657 23.618
0.658 23.605
0.658 23.202
0.658 23.395
0.664 23.498
0.664 23.579
0.665 23.660
0.667 23.658
0.668 23.615
0.674 23.529
0.675 23.418
0.675 23.673
0.679 23.491
0.680 23.737
0.683 23.717
0.698 23.532
0.699 23.658
0.700 23.744
0.701 23.879
0.703 23.549
0.703 23.994
0.706 23.701
0.708 23.778
0.709 23.771
0.711 23.699
0.717 23.732
0.717 23.718
0.721 23.955
0.721 23.781
0.723 23.757
0.725 23.796
0.736 23.887
0.743 24.005
0.747 24.076
0.749 23.694
0.749 23.992
0.755 23.772
0.756 23.731
0.757 24.180
0.766 23.774
0.768 23.692
0.770 23.941
0.772 24.140
0.775 23.990
0.775 23.940
0.776 24.164
0.781 24.191
0.781 23.848
0.786 24.027
0.788 24.226
0.790 23.905
0.790 24.037
0.792 24.119
0.795 24.114
0.797 23.984
0.811 24.112
0.814 24.122
0.815 24.177
0.820 24.110
0.821 24.133
0.826 24.257
0.831 24.024
0.834 24.135
0.834 24.143
0.836 23.737
0.837 24.061
0.838 24.112
0.840 24.261
0.841 24.109
0.843 24.193
0.846 24.141
0.849 24.261
0.853 24.198
0.864 24.555
0.864 24.407
0.864 24.572
0.864 24.272
0.868 24.176
0.875 24.515
0.879 24.326
0.879 24.330
0.884 24.552
0.886 24.300
0.887 24.332
0.892 24.077
0.892 24.232
0.896 24.476
0.900 24.517
0.904 24.440
0.906 24.473
0.911 24.654
0.914 24.505
0.916 24.172
0.916 24.688
0.922 24.538
0.936 24.591
0.937 24.546
0.943 24.421
0.957 24.861
0.958 24.852
0.959 24.582
0.959 24.592
0.969 24.522
0.970 24.512
0.973 24.529
0.973 24.552
0.973 24.309
0.980 24.828
0.981 24.544
0.987 24.573
0.994 24.635
0.999 24.410
0.999 24.645
1.000 24.743
1.003 24.574
