# 1.1805
# day   y(mag)     std.err
#-----------
27.000000 0.732300 0.100000
52.000000 1.262435 0.100000
70.000000 1.142079 0.100000
122.000000 -1.009340 0.100000
144.000000 -1.024704 0.100000
167.000000 -0.517434 0.100000
185.000000 0.124467 0.100000
275.000000 0.797894 0.100000
289.000000 -0.166576 0.100000
357.000000 -0.797233 0.100000
364.000000 -0.647396 0.100000
460.000000 1.326991 0.100000
464.000000 1.119522 0.100000
471.000000 0.853466 0.100000
472.000000 0.749193 0.100000
478.000000 0.366811 0.100000
499.000000 -0.835949 0.100000
537.000000 -0.894121 0.100000
689.000000 -0.188823 0.100000
694.000000 -0.467743 0.100000
709.000000 -0.913076 0.100000
711.000000 -1.017914 0.100000
783.000000 0.050079 0.100000
833.000000 0.892407 0.100000
834.000000 1.193623 0.100000
870.000000 0.958479 0.100000
897.000000 -0.659064 0.100000
907.000000 -1.088785 0.100000
963.000000 -0.659794 0.100000
965.000000 -0.681796 0.100000
